Date,Open,High,Low,Close,Volume,Adj Close
9/22/2014,52.38,52.9,51.36,51.94,21700900,51.94
9/19/2014,50.78,53,50.18,53,38158100,53
9/18/2014,50.97,51.88,50.53,50.88,22456700,50.88
9/17/2014,50.97,51.6,50.16,50.7,22874400,50.7
9/16/2014,48.7,50.91,48.4,50.83,26705400,50.83
9/15/2014,51.6,51.93,47.56,49.38,38300800,49.38
9/12/2014,52.55,52.82,52.02,52.11,22913800,52.11
9/11/2014,52.55,53.64,52.18,52.64,38055400,52.64
9/10/2014,52.11,53.33,51.85,52.91,37907700,52.91
9/9/2014,52.23,52.4,50.22,50.61,24998900,50.61
9/8/2014,51.8,52.68,51.68,52,30796500,52
9/5/2014,50.09,50.88,49.52,50.7,20226400,50.7
9/4/2014,49.69,50.86,49.22,50.24,24393700,50.24
9/3/2014,51.83,51.85,49.05,49.33,34366600,49.33
9/2/2014,50.02,51.34,49.9,51.02,28192200,51.02
8/29/2014,49.89,50.35,49.13,49.75,31912200,49.75
8/28/2014,47.98,49.88,47.86,49.43,35030200,49.43
8/27/2014,48.24,48.46,47.18,48.06,26110800,48.06
8/26/2014,46.1,48.2,46.04,48.17,27573100,48.17
8/25/2014,46.22,46.36,45.7,46.1,17548000,46.1
8/22/2014,45.04,46.14,44.8,45.98,19411300,45.98
8/21/2014,45.29,45.35,44.84,45.11,10598300,45.11
8/20/2014,44.93,45.21,44.76,45.06,10367200,45.06
8/19/2014,45.24,45.45,45.03,45.09,11873100,45.09
8/18/2014,45.06,45.33,44.77,45.12,14814000,45.12
8/15/2014,45.47,45.5,44.44,44.76,17776700,44.76
8/14/2014,44.4,45.34,44.04,45.33,23598000,45.33
8/13/2014,44.12,44.34,43.62,44.15,16148000,44.15
8/12/2014,44.38,44.72,43.61,43.81,29537500,43.81
8/11/2014,43.48,43.6,42.71,43.27,18374000,43.27
8/8/2014,43.02,43.36,42.51,43.13,14967900,43.13
8/7/2014,43.37,44.37,42.89,43,25370300,43
8/6/2014,43.39,44.04,42.75,43.46,20333600,43.46
8/5/2014,43.25,44.48,43.02,43.83,26327900,43.83
8/4/2014,43.7,44.53,43.44,43.47,22390000,43.47
8/1/2014,45.01,45.54,43.81,44.13,37171100,44.13
7/31/2014,44.62,45.84,44.3,45.19,47105700,45.19
7/30/2014,47.01,48,45.65,46.3,116051400,46.3
7/29/2014,38.11,38.92,37.99,38.59,61396000,38.59
7/28/2014,38.3,38.44,37.56,37.93,16706500,37.93
7/25/2014,38.2,38.8,38.02,38.16,15950400,38.16
7/24/2014,38.71,39,37.85,38.71,22082800,38.71
7/23/2014,37.65,38.19,37.56,37.75,13141200,37.75
7/22/2014,38.31,38.6,37.45,37.65,16825700,37.65
7/21/2014,37.23,38.29,36.85,38.05,19657500,38.05
7/18/2014,36.81,37.08,35.95,37.05,26340400,37.05
7/17/2014,36.8,37.17,36.38,36.87,22609600,36.87
7/16/2014,38.31,38.52,37.1,37.43,19687200,37.43
7/15/2014,38.59,38.99,37.62,37.88,24630600,37.88
7/14/2014,38.57,39.38,38.2,38.31,19672200,38.31
7/11/2014,38.15,38.79,38,38.33,21053300,38.33
7/10/2014,36.49,38.1,36.11,37.84,26538400,37.84
7/9/2014,37.82,38.35,37.35,38.06,26801700,38.06
7/8/2014,39.96,40.04,36.84,37.41,49908400,37.41
7/7/2014,41.08,41.45,40.14,40.23,21367600,40.23
7/3/2014,41.94,42,40.83,41.33,15795100,41.33
7/2/2014,42.83,42.83,41.42,41.77,24352300,41.77
7/1/2014,42.06,42.95,41.91,42.05,35982400,42.05
6/30/2014,40.81,41.34,40.35,40.97,22747500,40.97
6/27/2014,40.7,41.15,40.11,40.93,48253400,40.93
6/26/2014,40.05,42,39.81,41.44,45281600,41.44
6/25/2014,38.24,39.59,38.01,39.46,25430200,39.46
6/24/2014,39.44,39.64,38.26,38.48,24436200,38.48
6/23/2014,39.07,39.58,38.73,39.52,22560100,39.52
6/20/2014,38.82,39.24,37.77,39.24,41471100,39.24
